company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label,funding_ordinal,hiring_pressure,sector_clean,city_clean,log_funding,funding_per_empl,startup_age,review_density,growth_x_ai
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing,3,0.1565217391304348,D2C,Bengaluru,16.454567959008102,0.1430831996435487,1,0.10434782608695652,42
IndiaStartup_0353,D2C,Bengaluru,2018,371,Series A,5000000,84,65,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,18,Remote,0,0,1,Emerging,3,0.1752021563342318,D2C,Bengaluru,15.424948670398354,0.04157668105228667,7,0.04851752021563342,84
IndiaStartup_0354,FinTech,Jaipur,2016,67,Pre-Series A,100000,86,12,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,8,On-site,0,0,0,High Desirability,2,0.1791044776119403,FinTech,Jaipur,11.51293546492023,0.17183485768537654,9,0.11940298507462686,86
IndiaStartup_0355,HR Tech,Delhi,2018,16,Bootstrapped,2000000,129,2,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,9,Hybrid,0,0,1,Growing,0,0.125,HR Tech,Delhi,14.508658238524095,0.906791139907756,7,0.5625,129
IndiaStartup_0356,SpaceTech,Kochi,2023,385,Pre-Series A,10000000,64,19,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,9,Hybrid,0,0,0,Emerging,2,0.04935064935064935,SpaceTech,Kochi,16.118095750958314,0.0418651837687229,2,0.023376623376623377,64
IndiaStartup_0357,EdTech,Chennai,2019,298,Pre-Series A,250000,102,25,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,28,On-site,0,0,0,High Desirability,2,0.08389261744966443,EdTech,Chennai,12.429220196836383,0.0417087926068335,6,0.09395973154362416,102
IndiaStartup_0358,SaaS,Surat,2020,31,Seed,5000000,67,1,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,2,Hybrid,0,0,0,Growing,1,0.03225806451612903,SaaS,Surat,15.424948670398354,0.49757898936768885,5,0.06451612903225806,67
IndiaStartup_0359,Logistics,Bengaluru,2022,346,Bootstrapped,5000000,35,49,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,2,On-site,0,0,1,Growing,0,0.1416184971098266,Logistics,Bengaluru,15.424948670398354,0.044580776504041485,3,0.005780346820809248,35
IndiaStartup_0360,HealthTech,Delhi,2021,163,Bootstrapped,100000,137,17,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,21,Hybrid,0,0,1,Growing,0,0.10429447852760736,HealthTech,Delhi,11.51293546492023,0.070631505919756,4,0.12883435582822086,137
IndiaStartup_0361,HealthTech,Hyderabad,2020,334,Series B,250000,56,32,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,1,Remote,0,0,1,Growing,4,0.09580838323353294,HealthTech,Hyderabad,12.429220196836383,0.03721323412226462,5,0.0029940119760479044,56
IndiaStartup_0362,SaaS,Hyderabad,2020,335,Series A,25000000,7,11,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,18,Hybrid,0,0,1,Emerging,3,0.03283582089552239,SaaS,Hyderabad,17.034386422832473,0.050848914695022306,5,0.05373134328358209,7
IndiaStartup_0363,HealthTech,Mumbai,2017,259,Series A,10000000,149,23,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,3,Remote,0,0,1,Emerging,3,0.0888030888030888,HealthTech,Mumbai,16.118095750958314,0.06223202992647998,8,0.011583011583011582,149
IndiaStartup_0364,DevTools,Mumbai,2020,325,Bootstrapped,10000000,52,51,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,17,Hybrid,0,1,1,High Desirability,0,0.15692307692307692,DevTools,Mumbai,16.118095750958314,0.049594140772179426,5,0.052307692307692305,104
IndiaStartup_0365,Robotics,Kochi,2022,133,Series B,0,38,22,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,14,Hybrid,0,1,0,High Desirability,4,0.16541353383458646,Robotics,Kochi,0.0,0.0,3,0.10526315789473684,76
IndiaStartup_0366,AI,Mumbai,2020,207,Series A,5000000,101,21,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,5,On-site,0,1,1,Emerging,3,0.10144927536231885,AI,Mumbai,15.424948670398354,0.07451666024347031,5,0.024154589371980676,202
IndiaStartup_0367,DevTools,Kochi,2019,232,Series B,250000,8,39,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,24,On-site,0,1,0,Emerging,4,0.16810344827586207,DevTools,Kochi,12.429220196836383,0.05357422498636372,6,0.10344827586206896,16
IndiaStartup_0368,SaaS,Mumbai,2017,307,Pre-Series A,250000,70,50,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,3,Remote,0,0,1,Emerging,2,0.16286644951140064,SaaS,Mumbai,12.429220196836383,0.04048605927308268,8,0.009771986970684038,70
IndiaStartup_0369,AgriTech,Gurugram,2025,342,Series A,5000000,112,43,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,25,Hybrid,0,0,0,Emerging,3,0.12573099415204678,AgriTech,Gurugram,15.424948670398354,0.04510218909473203,0,0.07309941520467836,112
IndiaStartup_0370,Climate Tech,Kochi,2018,187,Bootstrapped,0,11,23,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,2,On-site,0,0,0,High Desirability,0,0.12299465240641712,Climate Tech,Kochi,0.0,0.0,7,0.0106951871657754,11
IndiaStartup_0371,Logistics,Pune,2023,121,Series A,500000,136,19,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,20,Remote,0,0,0,Growing,3,0.15702479338842976,Logistics,Pune,13.122365377402328,0.10844930063968866,2,0.1652892561983471,136
IndiaStartup_0372,DevTools,Mumbai,2025,187,Seed,25000000,121,15,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,3,On-site,0,1,1,Growing,1,0.08021390374331551,DevTools,Mumbai,17.034386422832473,0.0910929755231683,0,0.016042780748663103,242
IndiaStartup_0373,Semiconductor,Pune,2018,142,Seed,25000000,124,6,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,24,Remote,0,1,0,Emerging,1,0.04225352112676056,Semiconductor,Pune,17.034386422832473,0.11996046776642587,7,0.16901408450704225,248
IndiaStartup_0374,AgriTech,Mumbai,2020,341,Pre-Series A,25000000,129,53,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,1,Remote,0,0,1,Growing,2,0.15542521994134897,AgriTech,Mumbai,17.034386422832473,0.04995421238367294,5,0.002932551319648094,129
IndiaStartup_0375,Logistics,Jaipur,2024,228,Series B,5000000,96,41,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,25,Hybrid,0,0,0,High Desirability,4,0.17982456140350878,Logistics,Jaipur,15.424948670398354,0.06765328364209805,1,0.10964912280701754,96
IndiaStartup_0376,DeepTech,Jaipur,2023,86,Pre-Series A,2000000,102,12,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,19,Remote,0,1,0,High Desirability,2,0.13953488372093023,DeepTech,Jaipur,14.508658238524095,0.16870532835493135,2,0.22093023255813954,204
IndiaStartup_0377,Climate Tech,Ahmedabad,2017,375,Pre-Series A,10000000,80,21,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,15,Remote,0,0,0,Growing,2,0.056,Climate Tech,Ahmedabad,16.118095750958314,0.04298158866922217,8,0.04,80
IndiaStartup_0378,SaaS,Chennai,2021,299,Series A,25000000,138,52,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,12,Hybrid,0,0,0,Growing,3,0.17391304347826086,SaaS,Chennai,17.034386422832473,0.056971192049606934,4,0.04013377926421405,138
IndiaStartup_0379,DevTools,Jaipur,2025,33,Seed,0,135,3,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,12,Hybrid,0,1,0,Emerging,1,0.09090909090909091,DevTools,Jaipur,0.0,0.0,0,0.36363636363636365,270
IndiaStartup_0380,EdTech,Delhi,2018,220,Bootstrapped,1000000,109,42,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,17,On-site,0,0,1,Emerging,0,0.19090909090909092,EdTech,Delhi,13.815511557963774,0.06279777980892624,7,0.07727272727272727,109
IndiaStartup_0381,Semiconductor,Indore,2025,100,Series B,250000,21,12,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,29,Remote,0,1,0,Growing,4,0.12,Semiconductor,Indore,12.429220196836383,0.12429220196836382,0,0.29,42
IndiaStartup_0382,FinTech,Ahmedabad,2018,30,Series A,0,14,5,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,28,Remote,0,0,0,Growing,3,0.16666666666666666,FinTech,Ahmedabad,0.0,0.0,7,0.9333333333333333,14
IndiaStartup_0383,HealthTech,Hyderabad,2025,114,Series B,1000000,27,8,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,2,Remote,0,0,1,High Desirability,4,0.07017543859649122,HealthTech,Hyderabad,13.815511557963774,0.12118869787687521,0,0.017543859649122806,27
IndiaStartup_0384,Robotics,Mumbai,2022,174,Seed,100000,70,24,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,8,Remote,0,1,1,Growing,1,0.13793103448275862,Robotics,Mumbai,11.51293546492023,0.06616629577540362,3,0.04597701149425287,140
IndiaStartup_0385,SaaS,Mumbai,2022,131,Seed,100000,100,16,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,2,On-site,0,0,1,Emerging,1,0.12213740458015267,SaaS,Mumbai,11.51293546492023,0.08788500354900938,3,0.015267175572519083,100
IndiaStartup_0386,EdTech,Noida,2025,387,Pre-Series A,0,56,68,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,29,Hybrid,0,0,0,Emerging,2,0.17571059431524547,EdTech,Noida,0.0,0.0,0,0.07493540051679587,56
IndiaStartup_0387,DevTools,Kochi,2017,235,Series B,2000000,140,7,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,6,Remote,0,1,0,Emerging,4,0.029787234042553193,DevTools,Kochi,14.508658238524095,0.061738971227762104,8,0.02553191489361702,280
IndiaStartup_0388,D2C,Kochi,2021,212,Pre-Series A,500000,6,29,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,13,On-site,0,0,0,Emerging,2,0.13679245283018868,D2C,Kochi,13.122365377402328,0.06189794989340721,4,0.06132075471698113,6
IndiaStartup_0389,SaaS,Ahmedabad,2019,41,Pre-Series A,2000000,154,6,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,11,Hybrid,0,0,0,Growing,2,0.14634146341463414,SaaS,Ahmedabad,14.508658238524095,0.35386971313473403,6,0.2682926829268293,154
IndiaStartup_0390,SpaceTech,Surat,2021,331,Pre-Series A,25000000,132,17,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,29,Remote,0,0,0,Emerging,2,0.0513595166163142,SpaceTech,Surat,17.034386422832473,0.05146340309012832,4,0.08761329305135952,132
IndiaStartup_0391,SaaS,Nagpur,2024,21,Series A,10000000,157,1,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,1,Hybrid,0,0,0,Emerging,3,0.047619047619047616,SaaS,Nagpur,16.118095750958314,0.7675283690932531,1,0.047619047619047616,157
IndiaStartup_0392,HealthTech,Bengaluru,2019,357,Series B,0,25,55,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,10,Remote,0,0,1,Growing,4,0.15406162464985995,HealthTech,Bengaluru,0.0,0.0,6,0.028011204481792718,25
IndiaStartup_0393,SaaS,Noida,2024,190,Series A,0,136,22,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,20,On-site,0,0,0,High Desirability,3,0.11578947368421053,SaaS,Noida,0.0,0.0,1,0.10526315789473684,136
IndiaStartup_0394,Climate Tech,Kochi,2017,377,Series A,5000000,26,69,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,Remote,0,0,0,High Desirability,3,0.1830238726790451,Climate Tech,Kochi,15.424948670398354,0.040914983210605715,8,0.03183023872679045,26
IndiaStartup_0395,HealthTech,Gurugram,2020,181,Series A,250000,9,20,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,15,Hybrid,0,0,0,Growing,3,0.11049723756906077,HealthTech,Gurugram,12.429220196836383,0.0686697248443999,5,0.08287292817679558,9
IndiaStartup_0396,HealthTech,Noida,2023,206,Series A,100000,114,17,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,10,Remote,0,0,0,Emerging,3,0.0825242718446602,HealthTech,Noida,11.51293546492023,0.05588803623747684,2,0.04854368932038835,114
IndiaStartup_0397,SpaceTech,Noida,2020,5,Series B,1000000,98,1,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,27,Remote,0,0,0,High Desirability,4,0.2,SpaceTech,Noida,13.815511557963774,2.7631023115927547,5,5.4,98
IndiaStartup_0398,D2C,Kochi,2018,380,Seed,250000,149,59,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,25,Remote,0,0,0,Emerging,1,0.15526315789473685,D2C,Kochi,12.429220196836383,0.03270847420220101,7,0.06578947368421052,149
IndiaStartup_0399,HealthTech,Jaipur,2019,388,Series B,2000000,112,41,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,15,On-site,0,0,0,Emerging,4,0.1056701030927835,HealthTech,Jaipur,14.508658238524095,0.03739344906836107,6,0.03865979381443299,112
IndiaStartup_0400,SpaceTech,Bengaluru,2017,211,Pre-Series A,5000000,139,9,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,14,Remote,0,0,1,High Desirability,2,0.04265402843601896,SpaceTech,Bengaluru,15.424948670398354,0.07310402213458936,8,0.06635071090047394,139
IndiaStartup_0401,HR Tech,Bengaluru,2019,365,Bootstrapped,100000,7,36,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,13,On-site,0,0,1,High Desirability,0,0.09863013698630137,HR Tech,Bengaluru,11.51293546492023,0.03154228894498693,6,0.03561643835616438,7
IndiaStartup_0402,Semiconductor,Chennai,2021,113,Series B,500000,11,20,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,26,Hybrid,0,1,0,High Desirability,4,0.17699115044247787,Semiconductor,Chennai,13.122365377402328,0.11612712723364893,4,0.23008849557522124,22
IndiaStartup_0403,EdTech,Jaipur,2019,300,Series A,10000000,36,21,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,23,Hybrid,0,0,0,Emerging,3,0.07,EdTech,Jaipur,16.118095750958314,0.05372698583652771,6,0.07666666666666666,36
IndiaStartup_0404,FinTech,Ahmedabad,2016,229,Series A,1000000,163,30,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,15,On-site,0,0,0,Growing,3,0.13100436681222707,FinTech,Ahmedabad,13.815511557963774,0.06032974479460163,9,0.06550218340611354,163
IndiaStartup_0405,Semiconductor,Kochi,2022,35,Series B,250000,37,3,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,2,On-site,0,1,0,Emerging,4,0.08571428571428572,Semiconductor,Kochi,12.429220196836383,0.3551205770524681,3,0.05714285714285714,74
IndiaStartup_0406,SaaS,Noida,2020,123,Pre-Series A,250000,119,19,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,29,Hybrid,0,0,0,High Desirability,2,0.15447154471544716,SaaS,Noida,12.429220196836383,0.10105057070598684,5,0.23577235772357724,119
IndiaStartup_0407,EdTech,Delhi,2018,36,Pre-Series A,2000000,59,3,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,24,Hybrid,0,0,1,Emerging,2,0.08333333333333333,EdTech,Delhi,14.508658238524095,0.4030182844034471,7,0.6666666666666666,59
IndiaStartup_0408,HR Tech,Gurugram,2018,9,Series B,2000000,53,1,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,2,Remote,0,0,0,Emerging,4,0.1111111111111111,HR Tech,Gurugram,14.508658238524095,1.6120731376137885,7,0.2222222222222222,53
IndiaStartup_0409,HR Tech,Indore,2019,67,Seed,250000,14,5,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,4,On-site,0,0,0,Emerging,1,0.07462686567164178,HR Tech,Indore,12.429220196836383,0.18551074920651317,6,0.05970149253731343,14
IndiaStartup_0410,HealthTech,Noida,2025,222,Series B,10000000,21,21,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,3,Hybrid,0,0,0,Growing,4,0.0945945945945946,HealthTech,Noida,16.118095750958314,0.07260403491422664,0,0.013513513513513514,21
IndiaStartup_0411,FinTech,Indore,2019,47,Series B,1000000,69,3,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,24,Remote,0,0,0,High Desirability,4,0.06382978723404255,FinTech,Indore,13.815511557963774,0.29394705442476116,6,0.5106382978723404,69
IndiaStartup_0412,EdTech,Nagpur,2023,254,Series A,100000,35,50,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,13,Remote,0,0,0,Growing,3,0.1968503937007874,EdTech,Nagpur,11.51293546492023,0.0453265175784261,2,0.051181102362204724,35
IndiaStartup_0413,Logistics,Kochi,2022,352,Bootstrapped,1000000,35,11,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,23,On-site,0,0,0,Emerging,0,0.03125,Logistics,Kochi,13.815511557963774,0.039248612380578904,3,0.06534090909090909,35
IndiaStartup_0414,DeepTech,Hyderabad,2020,351,Pre-Series A,250000,48,36,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,7,Hybrid,0,1,1,High Desirability,2,0.10256410256410256,DeepTech,Hyderabad,12.429220196836383,0.035410883751670605,5,0.019943019943019943,96
IndiaStartup_0415,HR Tech,Ahmedabad,2018,315,Bootstrapped,10000000,77,56,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,3,Hybrid,0,0,0,High Desirability,0,0.17777777777777778,HR Tech,Ahmedabad,16.118095750958314,0.051168557939550205,7,0.009523809523809525,77
IndiaStartup_0416,Robotics,Jaipur,2019,277,Series B,500000,9,28,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,29,Remote,0,1,0,Emerging,4,0.10108303249097472,Robotics,Jaipur,13.122365377402328,0.04737316020722862,6,0.10469314079422383,18
IndiaStartup_0417,SaaS,Delhi,2016,301,Seed,0,138,11,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,27,Remote,0,0,1,Emerging,1,0.036544850498338874,SaaS,Delhi,0.0,0.0,9,0.08970099667774087,138
IndiaStartup_0418,AgriTech,Mumbai,2016,300,Series B,250000,53,55,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,26,On-site,0,0,1,Growing,4,0.18333333333333332,AgriTech,Mumbai,12.429220196836383,0.041430733989454606,9,0.08666666666666667,53
IndiaStartup_0419,Logistics,Nagpur,2023,393,Series B,25000000,157,59,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,27,On-site,0,0,0,Growing,4,0.15012722646310434,Logistics,Nagpur,17.034386422832473,0.04334449471458644,2,0.06870229007633588,157
IndiaStartup_0420,AI,Gurugram,2019,25,Seed,500000,26,2,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,11,On-site,0,1,0,Growing,1,0.08,AI,Gurugram,13.122365377402328,0.5248946150960931,6,0.44,52
IndiaStartup_0421,Robotics,Pune,2022,322,Pre-Series A,10000000,51,37,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,22,Remote,0,1,0,High Desirability,2,0.11490683229813664,Robotics,Pune,16.118095750958314,0.05005619798434259,3,0.06832298136645963,102
IndiaStartup_0422,EdTech,Chennai,2016,361,Bootstrapped,25000000,86,48,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,25,Hybrid,0,0,0,Growing,0,0.1329639889196676,EdTech,Chennai,17.034386422832473,0.04718666599122569,9,0.06925207756232687,86
IndiaStartup_0423,AI,Pune,2018,292,Series B,250000,158,43,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,12,Remote,0,1,0,Emerging,4,0.14726027397260275,AI,Pune,12.429220196836383,0.04256582259190542,7,0.0410958904109589,316
IndiaStartup_0424,AI,Noida,2022,365,Series B,0,34,23,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,19,On-site,0,1,0,Emerging,4,0.06301369863013699,AI,Noida,0.0,0.0,3,0.052054794520547946,68
IndiaStartup_0425,Semiconductor,Kochi,2025,310,Pre-Series A,250000,97,58,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,17,Remote,0,1,0,High Desirability,2,0.1870967741935484,Semiconductor,Kochi,12.429220196836383,0.0400942586994722,0,0.054838709677419356,194
IndiaStartup_0426,HealthTech,Noida,2021,172,Seed,25000000,114,7,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,11,Hybrid,0,0,0,High Desirability,1,0.040697674418604654,HealthTech,Noida,17.034386422832473,0.09903713036530508,4,0.06395348837209303,114
IndiaStartup_0427,AgriTech,Hyderabad,2020,104,Seed,10000000,103,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,23,Hybrid,0,0,1,Growing,1,0.09615384615384616,AgriTech,Hyderabad,16.118095750958314,0.15498168991306072,5,0.22115384615384615,103
IndiaStartup_0428,Climate Tech,Indore,2025,13,Pre-Series A,500000,79,1,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,24,Remote,0,0,0,High Desirability,2,0.07692307692307693,Climate Tech,Indore,13.122365377402328,1.0094127213386406,0,1.8461538461538463,79
IndiaStartup_0429,SpaceTech,Hyderabad,2025,134,Bootstrapped,0,163,13,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,10,Remote,0,0,1,Emerging,0,0.09701492537313433,SpaceTech,Hyderabad,0.0,0.0,0,0.07462686567164178,163
IndiaStartup_0430,EdTech,Mumbai,2020,298,Bootstrapped,2000000,68,34,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,4,Hybrid,0,0,1,Emerging,0,0.11409395973154363,EdTech,Mumbai,14.508658238524095,0.048686772612496966,5,0.013422818791946308,68
IndiaStartup_0431,Robotics,Hyderabad,2021,145,Pre-Series A,2000000,64,21,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,18,Hybrid,0,1,1,High Desirability,2,0.14482758620689656,Robotics,Hyderabad,14.508658238524095,0.10005971198982135,4,0.12413793103448276,128
IndiaStartup_0432,HealthTech,Ahmedabad,2017,373,Bootstrapped,10000000,112,14,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,20,Remote,0,0,0,Growing,0,0.03753351206434316,HealthTech,Ahmedabad,16.118095750958314,0.04321205295163087,8,0.05361930294906166,112
IndiaStartup_0433,Semiconductor,Jaipur,2017,55,Series A,10000000,51,4,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,25,Remote,0,1,0,High Desirability,3,0.07272727272727272,Semiconductor,Jaipur,16.118095750958314,0.29305628638106024,8,0.45454545454545453,102
IndiaStartup_0434,DeepTech,Indore,2016,56,Series A,1000000,44,9,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,On-site,0,1,0,Growing,3,0.16071428571428573,DeepTech,Indore,13.815511557963774,0.2467055635350674,9,0.2857142857142857,88
IndiaStartup_0435,Robotics,Pune,2016,195,Series A,25000000,12,32,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,26,Hybrid,0,1,0,Growing,3,0.1641025641025641,Robotics,Pune,17.034386422832473,0.0873558278093973,9,0.13333333333333333,24
IndiaStartup_0436,Climate Tech,Chennai,2020,357,Series B,1000000,31,51,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,27,Hybrid,0,0,0,Emerging,4,0.14285714285714285,Climate Tech,Chennai,13.815511557963774,0.038698911927069396,5,0.07563025210084033,31
IndiaStartup_0437,Logistics,Noida,2018,302,Seed,500000,177,58,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,5,On-site,0,0,0,High Desirability,1,0.19205298013245034,Logistics,Noida,13.122365377402328,0.043451540984775924,7,0.016556291390728478,177
IndiaStartup_0438,Semiconductor,Hyderabad,2023,249,Series B,250000,148,31,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,17,On-site,0,1,1,Growing,4,0.12449799196787148,Semiconductor,Hyderabad,12.429220196836383,0.049916546975246515,2,0.06827309236947791,296
IndiaStartup_0439,SaaS,Pune,2022,72,Series B,1000000,120,8,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,2,Remote,0,0,0,High Desirability,4,0.1111111111111111,SaaS,Pune,13.815511557963774,0.1918821049717191,3,0.027777777777777776,120
IndiaStartup_0440,D2C,Gurugram,2018,320,Seed,5000000,58,29,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,27,Remote,0,0,0,Emerging,1,0.090625,D2C,Gurugram,15.424948670398354,0.04820296459499486,7,0.084375,58
IndiaStartup_0441,DevTools,Kochi,2024,183,Pre-Series A,100000,12,15,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,16,On-site,0,1,0,Growing,2,0.08196721311475409,DevTools,Kochi,11.51293546492023,0.06291221565530179,1,0.08743169398907104,24
IndiaStartup_0442,Semiconductor,Delhi,2018,120,Series B,250000,33,11,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,4,On-site,0,1,1,Growing,4,0.09166666666666666,Semiconductor,Delhi,12.429220196836383,0.10357683497363653,7,0.03333333333333333,66
IndiaStartup_0443,AgriTech,Chennai,2020,109,Seed,2000000,133,14,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,23,Remote,0,0,0,Emerging,1,0.12844036697247707,AgriTech,Chennai,14.508658238524095,0.13310695631673483,5,0.21100917431192662,133
IndiaStartup_0444,DeepTech,Delhi,2021,376,Pre-Series A,1000000,175,71,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,10,Hybrid,0,1,1,Growing,2,0.18882978723404256,DeepTech,Delhi,13.815511557963774,0.036743381803095145,4,0.026595744680851064,350
IndiaStartup_0445,FinTech,Gurugram,2019,153,Series B,10000000,139,13,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,19,On-site,0,0,0,Emerging,4,0.08496732026143791,FinTech,Gurugram,16.118095750958314,0.10534703105201512,6,0.12418300653594772,139
IndiaStartup_0446,Semiconductor,Surat,2024,386,Bootstrapped,100000,174,29,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Hybrid,0,1,0,High Desirability,0,0.07512953367875648,Semiconductor,Surat,11.51293546492023,0.02982625768114049,1,0.038860103626943004,348
IndiaStartup_0447,AI,Kochi,2025,156,Series B,500000,10,10,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,21,On-site,0,1,0,Growing,4,0.0641025641025641,AI,Kochi,13.122365377402328,0.08411772677822005,0,0.1346153846153846,20
IndiaStartup_0448,AI,Ahmedabad,2016,256,Pre-Series A,25000000,131,43,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,1,Hybrid,0,1,0,High Desirability,2,0.16796875,AI,Ahmedabad,17.034386422832473,0.06654057196418935,9,0.00390625,262
IndiaStartup_0449,HealthTech,Pune,2017,171,Series B,5000000,103,26,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,9,On-site,0,0,0,Emerging,4,0.15204678362573099,HealthTech,Pune,15.424948670398354,0.09020437818946406,8,0.05263157894736842,103
IndiaStartup_0450,FinTech,Kochi,2016,155,Bootstrapped,0,34,29,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,19,Hybrid,0,0,0,Emerging,0,0.1870967741935484,FinTech,Kochi,0.0,0.0,9,0.12258064516129032,34
